상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점,긍정리뷰비율,부정리뷰비율,품질언급비율,가성비언급비율,배송언급비율,저평점비율,최근 30일 리뷰비율,품질(긍정),품질(부정),구성/가성비(긍정),구성/가성비(부정),배송(긍정),배송(부정)
12274376800,KF365,1,달걀,[KF365] 1+등급 무항생제 특란 20구,0,7980,1200,665,8416,4.85,0.34,0.66,0.91,0.3,0.67,0.38,0.1,신선,계란파손,가성비,가성비,배송,배송
12274518551,KF365,2,가공육,[KF365] 훈제오리 300g ~,33,6990,300,74560,9640,4.86,0.43,0.57,0.91,0.37,0.38,0.24,0.2,맛,맛,가성비,가성비,배송,배송
12274488227,KF365,3,가공육,[KF365] 양념 소불고기 4종 (택1),30,13900,500,2780,6356,4.81,0.25,0.75,0.96,0.39,0.46,0.29,0.12,맛,맛,가성비,가성비,배송,배송
12274562713,KF365,4,달걀,[KF365] 무항생제 특란 30구 (15구*2ea),0,10690,1800,594,13677,4.87,0.68,0.32,0.92,0.46,0.65,0.14,0.07,신선함,계란파손,가성비,가격,배송,배송
12274500294,KF365,5,정육,[KF365] 1+ 한우 국거리 300g(냉장),22,14190,300,99330,5917,4.82,0.63,0.37,0.95,0.48,0.45,0.17,0.07,맛있음,질김,가성비,가성비,배송,배송
12274531725,KF365,6,달걀,[KF365] 1+등급 무항생제 특란 15구,5,5785,900,2571,5066,4.86,0.7,0.3,0.9,0.45,0.66,0.11,0.06,신선함,파손,가성비,가성비,배송,배송
12275427425,KF365,7,가공육,[KF365] 춘천식 닭갈비 2종 (냉장) (택1),20,14350,500,54530,4657,4.85,0.74,0.26,0.97,0.51,0.41,0.08,0.04,맛있음,맛,가성비,가성비,배송,배송
12274531655,KF365,8,달걀,[KF365] 1+등급 무항생제 백색 대란 20구,0,7620,1040,733,12487,4.86,0.58,0.42,0.92,0.42,0.61,0.25,0.04,맛,파손,가성비,배송,배송,배송
12274593285,KF365,9,가공육,[KF365] 에어프라이어용 미니 돈까스 2종,36,6390,500,44730,4217,4.89,0.8,0.2,0.92,0.55,0.49,0.04,0.05,맛있음,맛,가성비,가성비,배송,배송
12274602481,KF365,10,가공육,[KF365] 에어프라이어용 치즈 폭탄 돈까스 300g (모짜렐라),18,8150,300,46183,2779,4.85,0.77,0.23,0.95,0.5,0.39,0.04,0.03,맛있음,맛,가성비,가격,배송,배송
12274376392,KF365,11,정육,[KF365] 한돈 삼겹살 구이용 600g/1kg (냉장),20,15900,600,50350,3474,4.77,0.93,0.07,0.95,0.45,0.41,0.0,0.0,맛있음,기름많음,가성비,가격,배송,배송
12274638007,KF365,12,가공육,[KF365] 에어프라이어용 통 닭가슴살 치킨까스 120g*5pk,24,9490,600,36378,6736,4.89,0.93,0.07,0.92,0.57,0.46,0.0,0.0,맛있음,맛,가성비,맛,배송,배송
12274376769,KF365,13,달걀,[KF365] 1+등급 무항생제 특란 10구,0,4200,600,700,3144,4.9,0.91,0.09,0.91,0.44,0.61,0.0,0.0,신선함,계란,가성비,개수,배송,대안
12274611086,KF365,14,가공육,[KF365] 1+ 한우 다짐육 300g(냉장),22,14190,300,99330,1318,4.89,0.33,0.67,0.88,0.29,0.25,0.21,0.29,맛,맛,깔끔,가성비,배송,배송
12300398228,KF365,15,정육,[KF365] 한돈 급냉 삼겹살 600g/1kg (냉동),28,21400,600,96300,3671,4.75,0.21,0.79,0.97,0.32,0.43,0.44,0.16,맛,질김,가성비,가성비,배송,배송
12274573213,KF365,16,가공육,[KF365] 통통한 그릴 비엔나 소시지 700g,31,7900,700,33857,3301,4.89,0.41,0.59,0.94,0.47,0.43,0.08,0.24,맛있음,맛,가성비,가성비,배송빠름,배송
12274606995,KF365,17,가공육,[KF365] 양념 칼집 목살구이1kg (냉동),16,13775,1000,1378,3075,4.73,0.62,0.38,0.94,0.46,0.42,0.18,0.07,맛있음,맛,가성비,가성비,배송,배송
12274524551,KF365,18,가공육,[KF365] 오리지널 바베큐폭립 2종,24,10990,500,2198,3818,4.7,0.54,0.46,0.96,0.5,0.41,0.19,0.12,맛있음,맛,가성비,가성비,배송,배송
12274522419,KF365,19,가공육,[KF365] 에어프라이어용 통등심 돈까스 2종,15,10670,600,24897,2218,4.85,0.75,0.25,0.93,0.5,0.43,0.06,0.16,맛있음,맛,가성비,가성비,배송,배송
12275360725,KF365,20,가공육,[KF365] 한돈 고추장양념 돼지불고기 2종 (냉장) (택1),14,7290,500,18954,1898,4.82,0.77,0.23,0.95,0.47,0.38,0.05,0.03,맛있음,맛,가성비,가성비,배송,배송
